,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
18,2002,12044,Craig,Dawson,Craig Dawson,SG-SF,75.5,200,78.25,102.0,8' 6'',26.0,30.0,12.06,3.25,0.0
19,2002,2399,Mike,Dunleavy,Mike Dunleavy,SF,80.0,230,81.0,106.0,8' 10'',24.5,29.0,11.55,3.3,11.0
20,2002,12045,Teddy,Dupay,Teddy Dupay,PG,69.5,178,70.75,90.5,7' 6.5'',28.0,33.0,10.53,3.19,16.0
21,2002,2451,Corsley,Edwards,Corsley Edwards,PF,79.25,285,82.75,106.5,8' 10.5'',28.5,33.0,12.18,3.31,12.0
22,2002,12046,Andy,Ellis,Andy Ellis,PF,81.25,220,82.25,102.0,8' 6'',32.0,35.5,11.69,3.34,6.0
23,2002,2408,Melvin,Ely,Melvin Ely,PF,81.0,240,88.0,111.0,9' 3'',26.0,29.0,11.96,3.35,7.0
24,2002,2501,Reggie,Evans,Reggie Evans,PF,79.5,250,86.5,107.5,8' 11.5'',26.0,29.5,12.73,3.26,15.0
26,2002,2400,Drew,Gooden,Drew Gooden,PF,80.75,227,84.5,106.5,8' 10.5'',29.0,33.0,11.81,3.19,13.0
27,2002,12066,David,Graves,David Graves,SG,76.5,212,79.0,101.0,8' 5'',26.0,29.5,11.2,3.27,8.0
28,2002,2696,Lynn,Greer,Lynn Greer,PG,72.25,170,73.0,94.5,7' 10.5'',29.5,36.5,11.24,3.16,12.0
30,2002,101219,Anthony,Grundy,Anthony Grundy,PG-SG,72.75,167,79.75,99.0,8' 3'',27.5,32.0,11.1,3.39,0.0
31,2002,2409,Marcus,Haislip,Marcus Haislip,PF,80.5,221,84.0,107.0,8' 11'',33.5,36.5,11.35,3.21,8.0
32,2002,12068,Damon,Hancock,Damon Hancock,SG-PG,74.75,203,78.0,99.5,8' 3.5'',32.0,35.0,11.62,3.03,15.0
33,2002,12069,Greg,Harrington,Greg Harrington,PG,73.0,183,75.75,97.0,8' 1'',28.5,34.0,12.06,3.32,15.0
34,2002,2617,Udonis,Haslem,Udonis Haslem,PF,79.75,250,83.0,107.0,8' 11'',28.5,33.5,11.8,3.31,22.0
35,2002,12070,Cordell,Henry,Cordell Henry,PG,68.0,155,73.0,92.0,7' 8'',33.0,37.5,11.3,3.04,1.0
36,2002,2450,Randy,Holcomb,Randy Holcomb,SF-PF,79.0,225,85.0,105.0,8' 9'',29.5,35.5,12.85,3.22,15.0
37,2002,2415,Ryan,Humphrey,Ryan Humphrey,PF-SF,78.0,223,84.0,104.5,8' 8.5'',31.5,37.5,11.75,3.2,13.0
