,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,Player,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,Pos,G,MP,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM,Year,Pick,Age
100,2013,203513,Erik,Murphy,Erik Murphy,PF,80.75,239.8,82.5,108.0,9' 0'',24.5,29.5,12.19,3.57,F,36,952,.516,.579,.453,.784,12.2,5.5,1.4,0.6,0.7,24.4,6.0,11.6,2013,49,22
101,2013,203488,Mike,Muscala,Mike Muscala,C-PF,82.25,230.2,85.0,108.0,9' 0'',28.0,33.5,11.76,3.44,F,34,1079,.509,.519,.250,.789,18.7,11.1,2.3,0.5,2.4,35.7,8.3,12.5,2013,44,21
102,2013,203506,Victor,Oladipo,Victor Oladipo,SG,75.25,213.2,81.25,100.5,8' 4.5'',33.0,42.0,10.69,3.25,G,36,1021,.599,.644,.441,.746,13.6,6.3,2.1,2.2,0.8,28.9,6.7,15.1,2013,2,21
103,2013,203482,Kelly,Olynyk,Kelly Olynyk,PF-C,82.75,234,81.75,108.0,9' 0'',24.5,29.5,11.42,3.59,F,32,845,.629,.660,.300,.776,17.8,7.3,1.7,0.7,1.1,36.2,6.7,13.9,2013,13,22
104,2013,203486,Mason,Plumlee,Mason Plumlee,C-PF,83.25,238.2,83.0,108.0,9' 0'',30.5,36.0,10.89,3.29,F,36,1248,.599,.599,0,.681,17.1,9.9,1.9,1.0,1.4,26.3,6.9,9.5,2013,22,23
105,2013,203490,Otto,Porter,Otto Porter,SF,79.5,197.6,85.5,105.5,8' 9.5'',27.0,36.0,11.25,3.4,F,31,1097,.480,.504,.422,.777,16.2,7.5,2.7,1.8,0.9,27.3,7.1,13.7,2013,3,20
106,2013,203460,Andre,Roberson,Andre Roberson,PF-SF,78.25,205.8,83.0,104.5,8' 8.5'',30.0,36.5,11.36,3.34,F,31,1036,.480,.521,.328,.551,10.9,11.2,1.4,2.2,1.3,21.9,4.3,8.1,2013,26,21
107,2013,203491,Peyton,Siva,Peyton Siva,PG,71.5,180.6,75.0,93.0,7' 9'',33.5,41.5,10.59,3.16,G,40,1247,.404,.476,.288,.867,10.0,2.4,5.7,2.3,0.2,17.5,5.3,7.3,2013,56,22
108,2013,203503,Tony,Snell,Tony Snell,SF-SG,78.0,198.2,83.5,105.5,8' 9.5'',30.0,36.5,11.36,3.25,G,35,1093,.422,.452,.390,.843,12.5,2.6,2.9,0.8,0.5,17.0,3.6,6.2,2013,20,21
109,2013,203472,Deshaun,Thomas,Deshaun Thomas,SF,77.0,219.8,82.0,104.0,8' 8'',28.5,32.0,12.94,3.53,F,37,1309,.444,.500,.344,.834,19.8,5.9,1.3,0.5,0.3,24.2,6.9,9.0,2013,58,21
110,2013,203481,Jeff,Withey,Jeff Withey,C,82.75,221.8,86.0,110.5,9' 2.5'',26.5,29.0,12.49,3.47,C,37,1144,.582,.580,1.000,.714,13.7,8.5,0.9,0.8,3.9,27.2,6.6,11.5,2013,39,23
111,2013,203469,Cody,Zeller,Cody Zeller,C-PF,82.75,230,82.75,106.0,8' 10'',35.5,37.5,10.82,3.15,F,36,1062,.564,.567,.000,.757,16.5,8.0,1.3,1.0,1.3,29.8,7.3,11.1,2013,4,20
112,2014,203919,Jordan,Adams,Jordan Adams,SG,75.5,208.8,82.0,102.0,8' 6'',24.5,29.5,12.13,3.5,G,36,1082,.485,.551,.356,.836,17.4,5.3,2.3,2.6,0.1,28.3,6.4,11.5,2014,22,19
113,2014,203946,Cameron,Bairstow,Cameron Bairstow,PF,80.75,252.4,84.75,107.0,8' 11'',31.0,33.5,11.39,3.37,F,34,1119,.556,.558,.333,.735,20.4,7.4,1.6,0.6,1.5,29.0,6.5,9.7,2014,49,23
114,2014,203938,Alec,Brown,Alec Brown,PF,84.25,231.2,85.5,109.0,9' 1'',27.0,30.0,12.05,3.48,F,30,909,.476,.498,.420,.727,15.3,5.7,1.0,0.5,3.1,22.7,3.9,4.7,2014,50,21
115,2014,203900,Markel,Brown,Markel Brown,SG,74.5,184.4,80.75,100.0,8' 4'',36.5,43.5,12.62,3.18,G,34,1201,.473,.525,.379,.768,17.2,5.3,2.9,1.0,1.0,22.0,5.7,8.9,2014,44,22
116,2014,203902,Semaj,Christon,Semaj Christon,PG,73.5,186,78.5,99.0,8' 3'',30.5,36.5,11.55,3.32,G,34,1200,.479,.491,.388,.668,17.0,2.7,4.2,1.3,0.2,19.1,4.0,5.2,2014,55,21
117,2014,203903,Jordan,Clarkson,Jordan Clarkson,PG,75.25,186.3,80.0,98.0,8' 2'',33.0,38.5,10.76,3.28,G,35,1228,.448,.501,.281,.831,17.5,3.8,3.4,1.1,0.2,20.2,4.4,4.3,2014,46,22
118,2014,203908,DeAndre,Daniels,DeAndre Daniels,SF,79.25,196,86.0,106.5,8' 10.5'',26.5,32.0,11.46,3.44,F,38,1103,.469,.491,.417,.787,13.1,6.0,0.4,0.7,1.4,20.0,4.4,5.6,2014,37,22
119,2014,203921,Cleanthony,Early,Cleanthony Early,SF,78.0,209.4,82.75,101.5,8' 5.5'',34.0,40.0,11.15,3.18,F,36,986,.484,.579,.373,.844,16.4,5.9,0.8,0.8,0.8,26.5,6.1,9.0,2014,34,23
120,2014,203898,Tyler,Ennis,Tyler Ennis,PG,73.0,181.5,79.25,98.0,8' 2'',29.0,36.0,11.12,3.3,G,34,1215,.411,.429,.353,.765,12.9,3.4,5.5,2.1,0.2,21.3,5.5,8.7,2014,18,19
121,2014,203932,Aaron,Gordon,Aaron Gordon,PF,79.5,220.1,83.75,105.0,8' 9'',32.5,39.0,10.81,3.27,F,38,1187,.495,.513,.356,.422,12.4,8.0,2.0,0.9,1.0,20.4,5.4,8.4,2014,4,18
122,2014,203925,Joe,Harris,Joe Harris,SG,76.75,215,78.0,100.0,8' 4'',28.5,33.5,11.11,3.31,G,37,1066,.441,.487,.400,.640,12.0,2.9,2.3,0.9,0.2,18.7,5.0,8.6,2014,33,22
123,2014,203918,Rodney,Hood,Rodney Hood,SF,79.25,208.2,80.5,103.0,8' 7'',29.0,36.0,11.21,3.38,F,35,1150,.464,.494,.420,.807,16.1,3.9,2.1,0.7,0.3,20.1,4.9,7.2,2014,23,21
124,2014,203928,Cory,Jefferson,Cory Jefferson,PF,79.75,218.4,84.5,105.0,8' 9'',33.0,37.5,12.63,3.36,F,38,1103,.500,.515,.368,.640,13.7,8.2,1.0,0.4,1.3,23.8,4.9,6.3,2014,60,23
125,2014,203910,Nick,Johnson,Nick Johnson,SG,73.5,198,79.25,96.5,8' 0.5'',33.5,41.5,10.8,3.27,G,38,1257,.432,.469,.367,.781,16.3,4.1,2.8,1.1,0.7,21.5,6.7,10.7,2014,42,21
126,2014,203897,Zach,LaVine,Zach LaVine,PG,76.5,180.9,80.25,100.0,8' 4'',33.5,41.5,10.42,3.19,G,37,904,.441,.494,.375,.691,9.4,2.5,1.8,0.9,0.2,14.6,2.5,2.9,2014,13,19
127,2014,203909,K.J.,McDaniels,K.J. McDaniels,SF,76.5,195.6,83.25,102.0,8' 6'',33.0,37.0,12.71,3.1,F,36,1212,.459,.527,.304,.842,17.1,7.1,1.6,1.1,2.8,28.4,6.7,12.9,2014,32,21
128,2014,203926,Doug,McDermott,Doug McDermott,SF,78.25,218,81.25,103.0,8' 7'',28.5,36.5,11.1,3.29,F,35,1181,.526,.567,.449,.864,26.7,7.0,1.6,0.2,0.1,32.8,7.7,10.9,2014,11,22
129,2014,203895,Jordan,McRae,Jordan McRae,SG,75.75,179.4,84.5,104.0,8' 8'',27.5,34.5,11.07,3.39,G,37,1190,.436,.502,.351,.788,18.7,3.5,2.5,0.7,1.0,24.0,6.2,10.5,2014,58,23
130,2014,203894,Shabazz,Napier,Shabazz Napier,PG,71.0,175.2,75.25,93.0,7' 9'',30.5,37.5,11.6,3.2,G,40,1404,.429,.448,.405,.870,18.0,5.9,4.9,1.8,0.3,25.5,7.9,12.0,2014,24,22
131,2014,203934,Lamar,Patterson,Lamar Patterson,SG,76.0,226,83.0,101.0,8' 5'',27.5,32.5,11.63,3.45,G,36,1174,.441,.484,.388,.754,17.1,4.9,4.3,1.4,0.3,24.2,5.9,11.4,2014,48,22
