,Year,Player,POSITION,DRAFT_NUMBER,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_REACH_FT_IN,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,Age (Days),DRAFT_NUMBER,G,MP,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,WS,BPM,Total Minutes,Seasons Played,Average Minutes
93,2004,Jackson Vroman,PF-C,31,81.25,226.0,84.0,105.5,8' 9.5'',29.5,33.5,10.75,3.25,8581,31,32,983,.564,.573,.143,.507,13.9,9.6,2.3,1.4,0.7,4.1,,1113,2,556.5
94,2004,Delonte West,PG-SG,24,73.5,183.0,78.0,99.5,8' 3.5'',30.0,35.0,11.2,3.15,7901,24,32,1073,.510,.557,.412,.892,18.9,5.4,4.7,1.7,0.2,7.0,,11810,8,1476.25
95,2005,Alex Acker,SG,60,75.75,183.0,84.0,102.5,8' 6.5'',28.0,32.0,11.67,3.35,8081,60,31,1152,.450,.459,.431,.858,16.6,6.5,3.7,1.3,0.5,4.0,,235,2,117.5
96,2005,Andrew Bogut,C-PF,1,83.0,250.6,87.0,110.5,9' 2.5'',27.5,33.5,12.06,3.51,8023,1,35,1224,.620,.636,.360,.692,20.4,12.2,2.3,1.0,1.9,10.9,,19852,14,1418.0
97,2005,Travis Diener,PG-SG,38,71.75,165.2,71.75,93.5,7' 9.5'',24.5,31.0,10.85,3.26,8486,38,23,783,.420,.438,.405,.838,19.7,3.9,7.0,1.3,0.0,4.3,,2648,5,529.6
98,2005,Raymond Felton,PG,5,71.5,199.4,76.25,98.0,8' 2'',29.0,33.5,10.5,3.06,7871,5,36,1142,.455,.468,.440,.701,12.9,4.3,6.9,2.0,0.3,5.1,,28829,14,2059.214285714286
99,2005,Francisco Garcia,SF-SG,23,77.75,189.6,82.75,103.0,8' 7'',27.5,31.5,10.63,3.33,9151,23,38,1211,.437,.496,.366,.877,15.7,4.2,3.9,1.7,1.5,7.5,,11872,10,1187.2
100,2005,Joey Graham,SF,16,77.25,216.6,80.0,104.0,8' 8'',30.0,36.0,10.62,3.05,8586,16,33,1009,.529,.538,.473,.887,17.7,6.2,2.0,0.9,0.2,5.8,,6089,6,1014.8333333333334
101,2005,Danny Granger,,17,79.5,225.4,85.5,103.0,8' 7'',31.0,34.0,10.84,3.34,8170,17,30,900,.524,.563,.433,.755,18.8,8.9,2.4,2.1,2.0,7.6,,18439,10,1843.9
102,2005,Luther Head,PG-SG,24,74.0,178.8,77.25,98.5,8' 2.5'',31.5,38.5,11.12,3.21,8751,24,39,1297,.463,.547,.410,.788,15.9,4.0,3.8,1.7,0.2,7.2,,7806,6,1301.0
103,2005,Julius Hodge,SG-SF,20,78.0,202.2,84.5,107.5,8' 11.5'',24.5,29.0,10.89,3.18,8378,20,34,1177,.493,.530,.255,.668,17.0,6.6,4.8,1.4,0.7,5.1,,101,2,50.5
104,2005,Jarrett Jack,PG,22,74.5,197.6,79.5,100.0,8' 4'',26.0,28.5,10.87,3.24,8358,22,32,1091,.514,.549,.442,.866,15.5,4.8,4.5,1.8,0.1,6.1,,24120,13,1855.3846153846155
105,2005,David Lee,PF,30,79.75,229.5,84.0,106.5,8' 10.5'',30.5,32.5,10.8,3.19,8179,30,32,897,.525,.532,.000,.714,13.6,9.0,2.2,1.1,0.8,5.0,,24239,12,2019.9166666666667
106,2005,David Lee,PF,30,79.75,229.5,84.0,106.5,8' 10.5'',30.5,32.5,10.8,3.19,8179,30,26,824,.434,.494,.351,.737,12.5,3.8,2.4,1.3,0.2,1.6,,24239,12,2019.9166666666667
107,2005,Sean May,PF,13,79.0,258.8,85.25,105.0,8' 9'',30.0,33.0,11.04,3.29,7789,13,37,992,.567,.571,.000,.758,17.5,10.7,1.7,1.2,1.0,7.7,,1864,4,466.0
108,2005,Rashad McCants,SG,14,74.75,201.0,82.75,103.5,8' 7.5'',32.5,34.5,10.39,3.11,7960,14,33,856,.489,.544,.423,.722,16.0,3.0,2.7,1.3,0.7,5.0,,5047,4,1261.75
109,2005,Chris Paul,PG,4,71.75,178.0,76.25,93.0,7' 9'',32.0,38.0,11.09,3.22,7456,4,32,1069,.451,.441,.474,.834,15.3,4.5,6.6,2.4,0.0,4.6,,39882,17,2346.0
110,2005,Wayne Simien,PF,29,79.25,255.8,84.0,107.0,8' 11'',27.0,27.5,11.05,3.35,8129,29,26,892,.552,.563,.286,.816,20.3,11.0,1.4,0.6,0.6,5.7,,510,2,255.0
111,2005,Chris Taft,PF,42,80.5,261.0,85.75,109.0,9' 1'',28.5,33.0,11.26,3.27,7400,42,29,769,.580,.580,0,.586,13.3,7.5,0.8,0.4,1.7,4.8,,145,1,145.0
112,2005,Ronny Turiaf,PF,37,80.0,237.8,85.5,106.5,8' 10.5'',30.5,33.0,11.5,3.23,8073,37,31,967,.508,.513,.286,.683,15.9,9.5,1.5,0.4,1.9,4.8,,8026,10,802.6
