,Player,Height w/o Shoes,Height w/ Shoes,Weight,Wingspan,Standing Reach,Body Fat %,Hand Length,Hand Width,Year
36,Andrew Jones,190.5,193.68,185,199.39,252.73,4.9,8.5,9,2017
37,Luke Kennard,194.31,196.85,196.2,196.22,250.19,6.6,8,8.75,2017
38,Kyle Kuzma,203.2,207.01,222.6,214.0,273.05,9.4,8.5,9.5,2017
39,TJ Leaf,205.1,207.65,222.2,210.82,271.78,6.8,8.5,9.5,2017
40,Tyler Lydon,203.84,207.01,215,213.36,273.05,13.6,8.75,8.75,2017
41,Frank Mason,180.34,182.88,188.8,191.13,238.76,4.3,8,9.25,2017
42,Kennedy Meeks,205.1,208.91,276.6,215.9,269.24,11.5,8.75,8.75,2017
43,Eric Mika,204.47,207.65,232.8,208.28,270.51,6.5,8.25,8.75,2017
44,Donovan Mitchell,186.06,190.5,211.4,208.28,246.38,5.9,8.5,9.5,2017
45,Monte Morris,186.06,189.23,175.2,193.04,245.11,6.9,8.25,8.75,2017
47,Svi Mykhailiuk,199.39,201.93,219.6,195.58,254.0,11.4,8,9.25,2017
48,Semi Ojeleye,196.22,200.03,241.4,207.65,259.08,5.5,8.75,9.5,2017
49,Cam Oliver,200.66,203.84,238.6,216.53,270.51,7.7,9.5,10.25,2017
50,Justin Patton,208.28,211.46,229,220.98,283.21,7.8,8.75,9.75,2017
51,Alec Peters,201.3,205.1,232,210.19,266.7,8.8,8.75,10,2017
52,Ivan Rabb,205.1,208.28,219.6,217.17,276.86,6.8,8.75,9.00,2017
53,Davon Reed,194.31,196.85,206.2,213.36,259.08,6.5,9.25,9.50,2017
54,Devin Robinson,200.66,203.84,189.6,215.27,269.24,3.2,9.25,10.25,2017
55,Kobi Simmons,191.13,194.31,166.2,198.12,251.46,5.0,8.50,9.50,2017
56,Edmond Sumner,193.04,197.49,176.4,205.74,260.35,8.3,8.25,9.00,2017
58,Sindarius Thornwell,191.77,194.94,211.6,208.28,261.62,7.8,8.75,8.75,2017
59,Melo Trimble,186.06,189.23,195.2,187.96,242.57,10.6,8.00,8.75,2017
60,Moritz Wagner,208.28,211.46,231.2,213.36,274.32,6.7,8.75,10.75,2017
61,Derrick Walton Jr,180.34,184.78,188.6,189.23,241.3,5.8,8.00,8.50,2017
62,Thomas Welsh,212.09,214.63,254.0,213.36,278.13,10.9,9.00,10.50,2017
63,Derrick White,191.13,194.31,189.8,201.93,257.81,6.2,8.25,8.50,2017
64,Nigel Williams-Goss,186.69,190.5,190.2,201.17,251.46,5.6,8.75,9.25,2017
65,DJ Wilson,205.1,209.55,234.4,220.98,278.13,6.4,9.25,10.25,2017
66,Omer Yurtseven,209.55,212.72,248.4,215.9,275.59,7.6,9.00,10.50,2017
